name,county,state,full_fips,current_mw,construction_mw,planned_mw,current_plus_construction_mw,total_mw,rto,pricing_zone,interconnection,data_availability,migration_role,,,,,,,,,,,
"Union County, OH",Union,Ohio,39159,330,30,90,360,450,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Haskell County, TX",Haskell,Texas,48207,0,88,352,88,440,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Duval County, TX",Duval,Texas,48131,0,60,375,60,435,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Deuel County, SD",Deuel,South Dakota,46039,0,0,430,0,430,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Carbon County, PA",Carbon,Pennsylvania,42025,80,60,290,140,430,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Imperial County, CA",Imperial,California,6025,0,0,420,0,420,CAISO,SP15,Western,public_lap,cross_ic_destination,,,,,,,,,,,
"Chesterfield County, VA",Chesterfield,Virginia,51041,45.8,50,310,95.8,405.8,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Wilbarger County, TX",Wilbarger,Texas,48487,90,50,260,140,400,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Crittenden County, AR",Crittenden,Arkansas,5035,0,70,330,70,400,MISO,MISO_ARKANSAS_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"West Feliciana Parish, LA",West Feliciana,Louisiana,22125,0,200,200,200,400,MISO,MISO_LOUISIANA_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Tompkins County, NY",Tompkins,New York,36109,0,138,262,138,400,NYISO,ZONE_F,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Hendricks County, IN",Hendricks,Indiana,18063,0,0,400,0,400,MISO,MISO_INDIANA_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Charles City County, VA",Charles City,Virginia,51036,0,0,400,0,400,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Los Angeles County, CA",Los Angeles,California,6037,318.7,32,44,350.7,394.7,CAISO,SP15,Western,public_lap,cross_ic_destination,,,,,,,,,,,
"Douglas County, WA",Douglas,Washington,53017,239.5,102,39,341.5,380.5,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Park County, CO",Park,Colorado,8093,0,0,380,0,380,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Spartanburg County, SC",Spartanburg,South Carolina,45083,47.3,60,268,107.3,375.3,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Madison County, AL",Madison,Alabama,1089,262,100,5,362,367,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Coshocton County, OH",Coshocton,Ohio,39031,50,40,270,90,360,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Lancaster County, NE",Lancaster,Nebraska,31109,71,70,210,141,351,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Guilford County, NC",Guilford,North Carolina,37081,49.2,20,280,69.2,349.2,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Cass County, MI",Cass,Michigan,26027,28,40,272,68,340,MISO,MISO_MICHIGAN_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Lauderdale County, MS",Lauderdale,Mississippi,28075,8,40,280,48,328,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Wichita County, TX",Wichita,Texas,48485,0.6,0,300,0.6,300.6,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Lancaster County, PA",Lancaster,Pennsylvania,42071,0.5,100,200,100.5,300.5,PJM,PECO,Eastern,public_zonal,same_ic,,,,,,,,,,,
